Initials,Gender,Age,Country Currently Residing In,Country of Birth,Personal Earth Overshoot Day,Number of Earths,Ecological Footprint,CO2 Emissions -tonnes,Carbon Footprint %,Food -gha,Shelter - gha,Mobility - gha,Goods - gha,Service - gha
VO,M,20,USA,Ukraine,16-Apr,3.4,5.6,10.9,67,0.7,2.5,1.3,0.4,0.6
NO,M,17,USA,USA,22-Mar,4.5,7.3,11.9,56,2,2.8,0.9,1,1
LO,F,42,USA,Ukraine,14-Apr,3.5,5.7,10,61,1.1,2.1,0.71,1,0.7
OO,M,47,USA,Ukraine,21-Feb,7,11.4,24.3,73,1.6,2.1,5.6,1,1.1
MO,M,14,USA,USA,7-Apr,3.7,6.1,9.5,53,1.9,1.8,0.6,0.7,0.9
KO,F,10,USA,USA,4-Apr,3,5.2,8.3,52,1.2,1.5,0.4,0.7,0.8
TO,M,10,USA,USA,5-May,2.9,4.8,6.1,44,2.3,0.7,0.3,0.6,0.8
MK,F,64,USA,Ukraine,23-Mar,4.4,7.2,10.9,52,2.2,1.3,0.7,1.9,1.1
DK,M,66,USA,Ukraine,1-Mar,6.1,9.9,18.5,64,2.2,1.3,4,1.2,1.2
ER,M,27,USA,Ukraine,18-Mar,4.7,7.7,13.2,59,1.9,1.2,2.2,1.4,1.3
